hc1804,SHFE,hc1804,hc1804,hc,1,2018,4,30,1,500,1,10,1,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.08,0.08
ni1804,SHFE,ni1804,ni1804,ni,1,2018,4,30,1,500,1,1,10,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.08,0.08
pb1804,SHFE,pb1804,pb1804,pb,1,2018,4,30,1,500,1,5,5,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.08,0.08
rb1804,SHFE,rb1804,rb1804,rb,1,2018,4,30,1,500,1,10,1,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.09,0.09
ru1804,SHFE,ru1804,ru1804,ru,1,2018,4,30,1,500,1,10,5,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.09,0.09
sn1804,SHFE,sn1804,sn1804,sn,1,2018,4,30,1,500,1,1,10,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.08,0.08
wr1804,SHFE,wr1804,wr1804,wr,1,2018,4,30,1,500,1,10,1,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.2,0.2
zn1804,SHFE,zn1804,zn1804,zn,1,2018,4,30,1,500,1,5,5,20170316,20170418,20180416,20180417,20180423,1,1,2,1,0.08,0.08
SR801C5600,CZCE,白糖801买权,SR801C5600,SRC,2,2017,11,20,1,20,1,10,0.5,20170727,20170727,20171124,20171124,20171124,1,1,2,2,1.79769e+308,1.79769e+308
SR801P5600,CZCE,白糖801卖权,SR801P5600,SRP,2,2017,11,20,1,20,1,10,0.5,20170727,20170727,20171124,20171124,20171124,1,1,2,2,1.79769e+308,1.79769e+308
SR807C5600,CZCE,白糖807买权,SR807C5600,SRC,2,2018,5,20,1,20,1,10,0.5,20170727,20170727,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR807P5600,CZCE,白糖807卖权,SR807P5600,SRP,2,2018,5,20,1,20,1,10,0.5,20170727,20170727,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR809C5600,CZCE,白糖809买权,SR809C5600,SRC,2,2018,7,20,1,20,1,10,0.5,20170727,20170727,20180725,20180725,20180725,1,1,2,2,1.79769e+308,1.79769e+308
SR809P5600,CZCE,白糖809卖权,SR809P5600,SRP,2,2018,7,20,1,20,1,10,0.5,20170727,20170727,20180725,20180725,20180725,1,1,2,2,1.79769e+308,1.79769e+308
SR811C5600,CZCE,白糖811买权,SR811C5600,SRC,2,2018,9,20,1,20,1,10,0.5,20170727,20170727,20180924,20180924,20180924,1,1,2,2,1.79769e+308,1.79769e+308
TA711,CZCE,PTA11月,TA711,TA,1,2017,11,1000,1,1000,1,5,2,20161115,20161115,20171114,20171114,20171114,1,1,2,2,0.2,0.2
WH711,CZCE,强麦11月,WH711,WH,1,2017,11,1000,1,1000,1,20,1,20161115,20161115,20171114,20171114,20171114,1,1,2,2,0.2,0.2
TF1806,CFFEX,5年期国债1806,TF1806,TF,1,2018,6,30,1,50,1,10000,0.005,20170908,20170911,20180608,20180611,20180613,1,1,2,2,0.012,0.012
T1806,CFFEX,10年期国债1806,T1806,T,1,2018,6,30,1,50,1,10000,0.005,20170908,20170911,20180608,20180611,20180613,1,1,2,2,0.02,0.02
m1809-C-3000,DCE,m1809-C-3000,m1809-C-3000,m_o,2,2018,9,100,1,100,1,10,0.5,20170925,20170925,20180807,20180807,20180807,1,1,2,2,1.79769e+308,1.79769e+308
m1809-P-3000,DCE,m1809-P-3000,m1809-P-3000,m_o,2,2018,9,100,1,100,1,10,0.5,20170925,20170925,20180807,20180807,20180807,1,1,2,2,1.79769e+308,1.79769e+308
